station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueBuildingfraction,beg_time
KWIMADIS233,16,43.110001,-89.351997,32.03448275862069,27.75369458128079,27.448275862068964,28.344827586206897,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,2.345900527094116,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,17,43.110001,-89.351997,30.06896551724138,27.103448275862068,27.275862068965516,28.103448275862068,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,2.379481070404248,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,18,43.110001,-89.351997,27.620689655172413,26.660098522167488,26.24137931034483,27.75862068965517,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,2.41306161371438,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,19,43.110001,-89.351997,27.17241379310345,26.389162561576356,25.275862068965516,26.93103448275862,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,2.1102156453938505,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,20,43.110001,-89.351997,24.551724137931036,25.29064039408867,24.137931034482758,25.06896551724138,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,3.2914283492349483,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,21,43.110001,-89.351997,22.620689655172413,24.157635467980295,22.96551724137931,23.448275862068964,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,3.698082874995816,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,22,43.110001,-89.351997,21.379310344827587,23.472906403940886,22.103448275862068,22.24137931034483,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,2.569570069336596,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS233,23,43.110001,-89.351997,20.75862068965517,23.167487684729064,21.379310344827587,21.586206896551722,0.006406091632187519,0.015044160661197296,0.020219057470612298,166.0,2.340606142172581,42.8,16.4,11.527,1348.11634831,0.0,14.4641,2021-06-01
KWIMADIS238,0,43.036915,-89.378067,20.482758620689655,20.96551724137931,22.466656264627865,21.310344827586206,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.624975548341887,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,1,43.036915,-89.378067,19.79310344827586,20.310344827586206,21.929498696030134,20.67241379310345,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.6305631375986342,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,2,43.036915,-89.378067,18.896551724137932,19.517241379310345,21.28889285157034,20.0,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.636150726855382,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,3,43.036915,-89.378067,18.344827586206897,19.0,20.855183558834675,19.413793103448278,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,1.5740729335334285,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,4,43.036915,-89.378067,18.06896551724138,18.517241379310345,20.54175341224023,18.862068965517242,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,0.5119951402114751,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,5,43.036915,-89.378067,17.82758620689655,18.275862068965516,20.36280602426647,18.82758620689655,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.0157316583090257,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,6,43.036915,-89.378067,18.448275862068964,18.79310344827586,20.358571279970874,19.17241379310345,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,1.176614322102875,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,7,43.036915,-89.378067,19.586206896551722,21.03448275862069,21.028392364903517,20.275862068965516,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,1.264718222548762,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,8,43.036915,-89.378067,21.20689655172414,22.20689655172414,22.055110001560305,21.275862068965516,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.129885696395334,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,9,43.036915,-89.378067,23.103448275862068,23.655172413793103,23.700218442814794,22.448275862068964,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.639845463020084,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,10,43.036915,-89.378067,24.655172413793103,25.0,25.34532688406928,23.75862068965517,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,2.9231983715426644,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,11,43.036915,-89.378067,25.79310344827586,25.82758620689655,26.507676704634108,24.75862068965517,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,5.903905019426638,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,12,43.036915,-89.378067,26.413793103448278,25.724137931034484,27.283554376657822,25.551724137931036,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,4.317193335858647,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,13,43.036915,-89.378067,27.24137931034483,25.96551724137931,27.96206896551724,26.24137931034483,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,5.278832204974771,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,14,43.036915,-89.378067,27.96551724137931,26.310344827586206,28.46816976127321,26.310344827586206,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,6.240471074090895,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,15,43.036915,-89.378067,27.93103448275862,26.17241379310345,28.453580901856764,26.482758620689655,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,3.3424554154408317,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
KWIMADIS238,16,43.036915,-89.378067,28.06896551724138,26.103448275862068,28.087533156498672,26.448275862068964,0.036249131410289306,0.041669920290303926,0.04264123769310811,166.0,4.485900527094132,11.0,2.5,0.0,1147.53527534,0.0,0.0,2021-06-01
