station,hour,latitude,longitude,temperature,closest_station_1_temp,closest_station_2_temp,closest_station_3_temp,closest_1_distance,closest_2_distance,closest_3_distance,humidityAvg,windspeed,dewpt,heatindex,precipRate,day_of_year,adjusted_lst,valueImperviousfraction,valueTreefraction,valueBuildingheight,valueNearestDistWater,valueWaterfraction,valueLandcover,valueBuildingfraction,beg_time
KWIMADIS132,6,43.02747,-89.530556,18.178571428571427,17.0,17.678571428571427,18.107142857142858,0.01322248221779983,0.013521317835179196,0.02396418235617744,89.42857142857143,3.892857142857143,16.428571428571427,19.178571428571427,1.0975,195.53571428571428,-0.4833856778971217,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,7,43.02747,-89.530556,19.821428571428573,18.571428571428573,19.535714285714285,19.5,0.01322248221779983,0.013521317835179196,0.02396418235617744,84.14285714285714,5.392857142857143,17.0,20.857142857142858,1.0975,195.53571428571428,0.3980515558821071,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,8,43.02747,-89.530556,21.571428571428573,20.25,21.25,21.071428571428573,0.01322248221779983,0.013521317835179196,0.02396418235617744,78.89285714285714,6.142857142857143,17.678571428571427,23.107142857142858,1.0975,195.53571428571428,1.8373856963953368,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,9,43.02747,-89.530556,23.392857142857142,21.857142857142858,22.678571428571427,22.428571428571427,0.01322248221779983,0.013521317835179196,0.02396418235617744,73.17857142857143,6.892857142857143,18.178571428571427,25.178571428571427,1.0975,195.53571428571428,1.4398454630200952,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,10,43.02747,-89.530556,24.785714285714285,22.928571428571427,24.0,23.535714285714285,0.01322248221779983,0.013521317835179196,0.02396418235617744,68.67857142857143,8.25,18.571428571428573,27.285714285714285,1.1246428571428573,195.53571428571428,2.9831983715426382,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,11,43.02747,-89.530556,26.321428571428573,24.0,25.178571428571427,24.714285714285715,0.01322248221779983,0.013521317835179196,0.02396418235617744,64.57142857142857,8.178571428571429,18.857142857142858,28.928571428571427,1.1517857142857142,195.53571428571428,8.24390501942667,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,12,43.02747,-89.530556,27.357142857142858,25.035714285714285,25.964285714285715,25.428571428571427,0.01322248221779983,0.013521317835179196,0.02396418235617744,61.714285714285715,8.5,19.178571428571427,30.214285714285715,1.1700000000000002,195.53571428571428,4.857193335858611,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,13,43.02747,-89.530556,27.821428571428573,25.642857142857142,26.357142857142858,26.035714285714285,0.01322248221779983,0.013521317835179196,0.02396418235617744,60.57142857142857,8.607142857142858,19.107142857142858,31.0,1.287857142857143,195.53571428571428,5.928832204974777,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,14,43.02747,-89.530556,28.06896551724138,25.75862068965517,26.448275862068964,26.24137931034483,0.01322248221779983,0.013521317835179196,0.02396418235617744,60.10344827586207,8.068965517241379,19.20689655172414,31.275862068965516,1.5413793103448277,196.0,7.000471074090942,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,15,43.02747,-89.530556,28.379310344827587,26.344827586206897,26.75862068965517,26.689655172413794,0.01322248221779983,0.013521317835179196,0.02396418235617744,59.41379310344828,7.758620689655173,19.24137931034483,31.517241379310345,1.7865517241379312,196.0,2.9124554154407964,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,16,43.02747,-89.530556,28.20689655172414,26.517241379310345,26.93103448275862,26.75862068965517,0.01322248221779983,0.013521317835179196,0.02396418235617744,59.206896551724135,8.241379310344827,19.103448275862068,31.137931034482758,1.8217241379310345,196.0,4.8259005270941335,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,17,43.02747,-89.530556,27.79310344827586,26.379310344827587,26.379310344827587,26.551724137931036,0.01322248221779983,0.013521317835179196,0.02396418235617744,60.03448275862069,8.275862068965518,18.896551724137932,30.620689655172413,2.1020689655172413,196.0,3.469481070404252,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,18,43.02747,-89.530556,26.714285714285715,25.714285714285715,25.392857142857142,25.857142857142858,0.01322248221779983,0.013521317835179196,0.02396418235617744,62.92857142857143,7.107142857142857,18.785714285714285,29.107142857142858,2.1860714285714287,195.57142857142858,2.1130616137143683,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,19,43.02747,-89.530556,25.678571428571427,25.25,24.214285714285715,25.071428571428573,0.01322248221779983,0.013521317835179196,0.02396418235617744,67.07142857142857,5.535714285714286,18.821428571428573,28.0,0.2992857142857143,195.57142857142858,1.8102156453938392,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,20,43.02747,-89.530556,23.785714285714285,23.732142857142858,22.285714285714285,23.464285714285715,0.01322248221779983,0.013521317835179196,0.02396418235617744,72.71428571428571,3.392857142857143,18.5,25.928571428571427,0.3082142857142857,195.57142857142858,1.1564283492349432,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,21,43.02747,-89.530556,21.785714285714285,21.607142857142858,20.928571428571427,22.178571428571427,0.01322248221779983,0.013521317835179196,0.02396418235617744,79.46428571428571,3.0,18.107142857142858,23.178571428571427,0.3535714285714286,195.57142857142858,0.3380828749958038,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,22,43.02747,-89.530556,20.571428571428573,20.178571428571427,20.214285714285715,21.214285714285715,0.01322248221779983,0.013521317835179196,0.02396418235617744,83.85714285714286,2.8214285714285716,17.857142857142858,21.607142857142858,1.5150000000000001,195.57142857142858,0.4895700693366116,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
KWIMADIS132,23,43.02747,-89.530556,19.96551724137931,19.655172413793103,19.586206896551722,20.551724137931036,0.01322248221779983,0.013521317835179196,0.02396418235617744,86.65517241379311,3.1724137931034484,17.79310344827586,20.689655172413794,1.7779310344827588,196.0,0.5272728088392586,60.75,4.625,0.0,701.26496917,0.0,23.0,0.0,2021-07-01
