hour,latitude,longitude,temperature
14,-91879.71132092462,645966.8069199387,27.387096774193548
15,-91879.71132092462,645966.8069199387,27.612903225806452
16,-91879.71132092462,645966.8069199387,27.451612903225808
17,-91879.71132092462,645966.8069199387,26.64516129032258
18,-91879.71132092462,645966.8069199387,25.774193548387096
19,-91879.71132092462,645966.8069199387,24.741935483870968
20,-91879.71132092462,645966.8069199387,23.225806451612904
21,-91879.71132092462,645966.8069199387,22.0
22,-91879.71132092462,645966.8069199387,21.193548387096776
23,-91879.71132092462,645966.8069199387,20.322580645161292
0,-89910.91560491035,640962.0679000902,19.8
1,-89910.91560491035,640962.0679000902,19.04
2,-89910.91560491035,640962.0679000902,18.52
3,-89910.91560491035,640962.0679000902,18.08
4,-89910.91560491035,640962.0679000902,17.76
5,-89910.91560491035,640962.0679000902,17.76
6,-89910.91560491035,640962.0679000902,17.96
7,-89910.91560491035,640962.0679000902,19.2
8,-89910.91560491035,640962.0679000902,20.6
9,-89910.91560491035,640962.0679000902,22.0
10,-89910.91560491035,640962.0679000902,23.24
11,-89910.91560491035,640962.0679000902,24.083333333333332
12,-89910.91560491035,640962.0679000902,25.0
13,-89910.91560491035,640962.0679000902,25.458333333333332
14,-89910.91560491035,640962.0679000902,25.708333333333332
15,-89910.91560491035,640962.0679000902,26.0
16,-89910.91560491035,640962.0679000902,26.166666666666668
17,-89910.91560491035,640962.0679000902,26.0
18,-89910.91560491035,640962.0679000902,25.541666666666668
19,-89910.91560491035,640962.0679000902,24.416666666666668
20,-89910.91560491035,640962.0679000902,22.958333333333332
21,-89910.91560491035,640962.0679000902,22.083333333333332
22,-89910.91560491035,640962.0679000902,21.291666666666668
23,-89910.91560491035,640962.0679000902,20.5
0,-74865.15221547127,651559.7537701204,18.70967741935484
1,-74865.15221547127,651559.7537701204,18.032258064516128
2,-74865.15221547127,651559.7537701204,17.483870967741936
3,-74865.15221547127,651559.7537701204,16.870967741935484
4,-74865.15221547127,651559.7537701204,16.451612903225808
5,-74865.15221547127,651559.7537701204,16.258064516129032
6,-74865.15221547127,651559.7537701204,16.774193548387096
7,-74865.15221547127,651559.7537701204,19.548387096774192
8,-74865.15221547127,651559.7537701204,22.225806451612904
9,-74865.15221547127,651559.7537701204,23.774193548387096
10,-74865.15221547127,651559.7537701204,25.096774193548388
11,-74865.15221547127,651559.7537701204,26.387096774193548
12,-74865.15221547127,651559.7537701204,27.225806451612904
13,-74865.15221547127,651559.7537701204,27.580645161290324
14,-74865.15221547127,651559.7537701204,27.64516129032258
15,-74865.15221547127,651559.7537701204,27.29032258064516
16,-74865.15221547127,651559.7537701204,26.903225806451612
17,-74865.15221547127,651559.7537701204,26.806451612903224
18,-74865.15221547127,651559.7537701204,26.233333333333334
19,-74865.15221547127,651559.7537701204,25.066666666666666
20,-74865.15221547127,651559.7537701204,23.06451612903226
21,-74865.15221547127,651559.7537701204,21.129032258064516
22,-74865.15221547127,651559.7537701204,19.870967741935484
23,-74865.15221547127,651559.7537701204,19.35483870967742
0,-91374.23893418562,639818.5770347303,18.774193548387096
1,-91374.23893418562,639818.5770347303,18.06451612903226
2,-91374.23893418562,639818.5770347303,17.483870967741936
3,-91374.23893418562,639818.5770347303,17.032258064516128
4,-91374.23893418562,639818.5770347303,16.70967741935484
5,-91374.23893418562,639818.5770347303,16.64516129032258
6,-91374.23893418562,639818.5770347303,16.967741935483872
7,-91374.23893418562,639818.5770347303,18.35483870967742
8,-91374.23893418562,639818.5770347303,20.29032258064516
9,-91374.23893418562,639818.5770347303,22.193548387096776
10,-91374.23893418562,639818.5770347303,23.451612903225808
11,-91374.23893418562,639818.5770347303,24.806451612903224
12,-91374.23893418562,639818.5770347303,25.741935483870968
13,-91374.23893418562,639818.5770347303,26.419354838709676
14,-91374.23893418562,639818.5770347303,26.838709677419356
15,-91374.23893418562,639818.5770347303,27.225806451612904
16,-91374.23893418562,639818.5770347303,27.161290322580644
17,-91374.23893418562,639818.5770347303,26.93548387096774
18,-91374.23893418562,639818.5770347303,26.06451612903226
19,-91374.23893418562,639818.5770347303,24.677419354838708
20,-91374.23893418562,639818.5770347303,22.967741935483872
21,-91374.23893418562,639818.5770347303,21.258064516129032
22,-91374.23893418562,639818.5770347303,20.258064516129032
23,-91374.23893418562,639818.5770347303,19.483870967741936
0,-76443.27635373303,656284.2954614569,19.64516129032258
1,-76443.27635373303,656284.2954614569,18.774193548387096
2,-76443.27635373303,656284.2954614569,18.129032258064516
3,-76443.27635373303,656284.2954614569,17.612903225806452
4,-76443.27635373303,656284.2954614569,17.129032258064516
5,-76443.27635373303,656284.2954614569,17.0
6,-76443.27635373303,656284.2954614569,17.161290322580644
7,-76443.27635373303,656284.2954614569,18.516129032258064
8,-76443.27635373303,656284.2954614569,20.548387096774192
9,-76443.27635373303,656284.2954614569,22.677419354838708
10,-76443.27635373303,656284.2954614569,24.806451612903224
11,-76443.27635373303,656284.2954614569,26.806451612903224
12,-76443.27635373303,656284.2954614569,28.387096774193548
13,-76443.27635373303,656284.2954614569,29.258064516129032
14,-76443.27635373303,656284.2954614569,29.70967741935484
15,-76443.27635373303,656284.2954614569,29.903225806451612
16,-76443.27635373303,656284.2954614569,29.93548387096774
17,-76443.27635373303,656284.2954614569,29.516129032258064
18,-76443.27635373303,656284.2954614569,28.387096774193548
19,-76443.27635373303,656284.2954614569,26.451612903225808
20,-76443.27635373303,656284.2954614569,24.580645161290324
21,-76443.27635373303,656284.2954614569,22.70967741935484
22,-76443.27635373303,656284.2954614569,21.225806451612904
23,-76443.27635373303,656284.2954614569,20.193548387096776
0,-77059.52526434023,656210.673641866,20.70967741935484
1,-77059.52526434023,656210.673641866,20.06451612903226
2,-77059.52526434023,656210.673641866,19.233333333333334
3,-77059.52526434023,656210.673641866,18.733333333333334
4,-77059.52526434023,656210.673641866,18.433333333333334
5,-77059.52526434023,656210.673641866,18.161290322580644
6,-77059.52526434023,656210.673641866,18.032258064516128
7,-77059.52526434023,656210.673641866,19.0
8,-77059.52526434023,656210.673641866,21.29032258064516
9,-77059.52526434023,656210.673641866,23.06451612903226
10,-77059.52526434023,656210.673641866,24.0
11,-77059.52526434023,656210.673641866,25.35483870967742
12,-77059.52526434023,656210.673641866,26.387096774193548
13,-77059.52526434023,656210.673641866,27.0
14,-77059.52526434023,656210.673641866,27.677419354838708
15,-77059.52526434023,656210.673641866,27.64516129032258
16,-77059.52526434023,656210.673641866,27.322580645161292
17,-77059.52526434023,656210.673641866,26.967741935483872
18,-77059.52526434023,656210.673641866,26.35483870967742
19,-77059.52526434023,656210.673641866,25.419354838709676
20,-77059.52526434023,656210.673641866,23.967741935483872
21,-77059.52526434023,656210.673641866,22.774193548387096
22,-77059.52526434023,656210.673641866,21.93548387096774
23,-77059.52526434023,656210.673641866,21.129032258064516
0,-87278.81418989749,645692.2824462826,19.79310344827586
1,-87278.81418989749,645692.2824462826,18.833333333333332
2,-87278.81418989749,645692.2824462826,18.517241379310345
3,-87278.81418989749,645692.2824462826,17.862068965517242
4,-87278.81418989749,645692.2824462826,17.633333333333333
5,-87278.81418989749,645692.2824462826,17.387096774193548
6,-87278.81418989749,645692.2824462826,17.70967741935484
7,-87278.81418989749,645692.2824462826,19.06451612903226
8,-87278.81418989749,645692.2824462826,21.096774193548388
9,-87278.81418989749,645692.2824462826,22.70967741935484
10,-87278.81418989749,645692.2824462826,24.258064516129032
11,-87278.81418989749,645692.2824462826,25.516129032258064
12,-87278.81418989749,645692.2824462826,26.566666666666666
13,-87278.81418989749,645692.2824462826,27.419354838709676
14,-87278.81418989749,645692.2824462826,27.6
15,-87278.81418989749,645692.2824462826,27.838709677419356
16,-87278.81418989749,645692.2824462826,27.451612903225808
17,-87278.81418989749,645692.2824462826,26.866666666666667
18,-87278.81418989749,645692.2824462826,26.096774193548388
19,-87278.81418989749,645692.2824462826,24.962962962962962
20,-87278.81418989749,645692.2824462826,23.48148148148148
21,-87278.81418989749,645692.2824462826,21.884615384615383
22,-87278.81418989749,645692.2824462805,20.535714285714285
23,-87278.81418989749,645692.2824462826,20.0
0,-85675.31643786294,653904.9813681532,20.966666666666665
1,-85675.31643786294,653904.9813681532,19.6
2,-85675.31643786294,653904.9813681532,19.366666666666667
3,-85675.31643786294,653904.9813681532,19.066666666666666
4,-85675.31643786294,653904.9813681532,18.933333333333334
5,-85675.31643786294,653904.9813681532,18.666666666666668
6,-85675.31643786294,653904.9813681532,18.8
7,-85675.31643786294,653904.9813681532,18.766666666666666
8,-85675.31643786294,653904.9813681532,20.133333333333333
9,-85675.31643786294,653904.9813681532,22.633333333333333
10,-85675.31643786294,653904.9813681532,24.166666666666668
11,-85675.31643786294,653904.9813681532,25.233333333333334
12,-85675.31643786294,653904.9813681532,26.333333333333332
13,-85675.31643786294,653904.9813681532,27.033333333333335
14,-85675.31643786294,653904.9813681532,27.466666666666665
15,-85675.31643786294,653904.9813681532,27.8
16,-85675.31643786294,653904.9813681532,27.766666666666666
17,-85675.31643786294,653904.9813681532,27.133333333333333
18,-85675.31643786294,653904.9813681532,26.633333333333333
19,-85675.31643786294,653904.9813681532,25.7
20,-85675.31643786294,653904.9813681532,24.333333333333332
21,-85675.31643786294,653904.9813681532,23.066666666666666
22,-85675.31643786294,653904.9813681532,22.266666666666666
23,-85675.31643786294,653904.9813681532,21.466666666666665
0,-89445.26362302403,638279.0252724739,19.225806451612904
1,-89445.26362302403,638279.0252724739,18.3
2,-89445.26362302403,638279.0252724739,17.8
3,-89445.26362302403,638279.0252724739,17.533333333333335
4,-89445.26362302403,638279.0252724739,17.3
5,-89445.26362302403,638279.0252724739,17.066666666666666
6,-89445.26362302403,638279.0252724739,17.966666666666665
7,-89445.26362302403,638279.0252724739,19.566666666666666
8,-89445.26362302403,638279.0252724739,21.366666666666667
9,-89445.26362302403,638279.0252724739,23.233333333333334
10,-89445.26362302403,638279.0252724739,24.566666666666666
11,-89445.26362302403,638279.0252724739,26.066666666666666
12,-89445.26362302403,638279.0252724739,27.133333333333333
13,-89445.26362302403,638279.0252724739,27.566666666666666
14,-89445.26362302403,638279.0252724739,27.870967741935484
15,-89445.26362302403,638279.0252724739,28.161290322580644
16,-89445.26362302403,638279.0252724739,28.0
17,-89445.26362302403,638279.0252724739,27.548387096774192
18,-89445.26362302403,638279.0252724739,26.433333333333334
19,-89445.26362302403,638279.0252724739,25.433333333333334
20,-89445.26362302403,638279.0252724739,23.566666666666666
21,-89445.26362302403,638279.0252724739,21.6
22,-89445.26362302403,638279.0252724739,20.366666666666667
23,-89445.26362302403,638279.0252724739,19.741935483870968
0,-88220.00392265293,643174.0748095557,19.774193548387096
1,-88220.00392265293,643174.0748095557,19.032258064516128
2,-88220.00392265293,643174.0748095557,18.483870967741936
3,-88220.00392265293,643174.0748095557,18.096774193548388
4,-88220.00392265293,643174.0748095557,17.93548387096774
5,-88220.00392265293,643174.0748095557,17.70967741935484
6,-88220.00392265293,643174.0748095557,17.838709677419356
7,-88220.00392265293,643174.0748095557,19.0
8,-88220.00392265293,643174.0748095557,21.096774193548388
9,-88220.00392265293,643174.0748095557,22.451612903225808
10,-88220.00392265293,643174.0748095557,23.612903225806452
11,-88220.00392265293,643174.0748095557,24.70967741935484
12,-88220.00392265293,643174.0748095557,25.64516129032258
13,-88220.00392265293,643174.0748095557,26.129032258064516
14,-88220.00392265293,643174.0748095557,26.193548387096776
15,-88220.00392265293,643174.0748095557,26.612903225806452
16,-88220.00392265293,643174.0748095557,26.225806451612904
17,-88220.00392265293,643174.0748095557,25.677419354838708
18,-88220.00392265293,643174.0748095557,25.096774193548388
19,-88220.00392265293,643174.0748095557,24.193548387096776
20,-88220.00392265293,643174.0748095557,22.806451612903224
21,-88220.00392265293,643174.0748095557,21.677419354838708
22,-88220.00392265293,643174.0748095557,20.967741935483872
23,-88220.00392265293,643174.0748095557,20.322580645161292
0,-86304.94223831246,644569.9953804968,19.741935483870968
1,-86304.94223831246,644569.9953804968,19.032258064516128
2,-86304.94223831246,644569.9953804968,18.516129032258064
3,-86304.94223831246,644569.9953804968,18.096774193548388
4,-86304.94223831246,644569.9953804968,17.903225806451612
5,-86304.94223831246,644569.9953804968,17.806451612903224
6,-86304.94223831246,644569.9953804968,18.451612903225808
7,-86304.94223831246,644569.9953804968,20.096774193548388
8,-86304.94223831246,644569.9953804968,21.677419354838708
9,-86304.94223831246,644569.9953804968,23.032258064516128
10,-86304.94223831246,644569.9953804968,24.258064516129032
11,-86304.94223831246,644569.9953804968,25.516129032258064
12,-86304.94223831246,644569.9953804968,26.548387096774192
13,-86304.94223831246,644569.9953804968,27.06451612903226
14,-86304.94223831246,644569.9953804968,27.225806451612904
15,-86304.94223831246,644569.9953804968,27.612903225806452
16,-86304.94223831246,644569.9953804968,27.387096774193548
17,-86304.94223831246,644569.9953804968,27.193548387096776
18,-86304.94223831246,644569.9953804968,26.29032258064516
19,-86304.94223831246,644569.9953804968,25.322580645161292
20,-86304.94223831246,644569.9953804968,23.548387096774192
21,-86304.94223831246,644569.9953804968,21.838709677419356
22,-86304.94223831246,644569.9953804968,21.0
23,-86304.94223831246,644569.9953804968,20.29032258064516
0,-92740.39343636212,647470.3525721251,20.580645161290324
1,-92740.39343636212,647470.3525721251,20.096774193548388
2,-92740.39343636212,647470.3525721251,19.419354838709676
3,-92740.39343636212,647470.3525721251,18.93548387096774
4,-92740.39343636212,647470.3525721251,18.677419354838708
5,-92740.39343636212,647470.3525721251,18.451612903225808
6,-92740.39343636212,647470.3525721251,18.903225806451612
7,-92740.39343636212,647470.3525721251,20.032258064516128
8,-92740.39343636212,647470.3525721251,21.516129032258064
9,-92740.39343636212,647470.3525721251,22.903225806451612
10,-92740.39343636212,647470.3525721251,24.419354838709676
11,-92740.39343636212,647470.3525721251,25.903225806451612
12,-92740.39343636212,647470.3525721251,27.0
13,-92740.39343636212,647470.3525721251,27.838709677419356
14,-92740.39343636212,647470.3525721251,28.193548387096776
15,-92740.39343636212,647470.3525721251,28.580645161290324
16,-92740.39343636212,647470.3525721251,28.806451612903224
17,-92740.39343636212,647470.3525721251,28.451612903225808
18,-92740.39343636212,647470.3525721251,27.741935483870968
19,-92740.39343636212,647470.3525721251,26.580645161290324
20,-92740.39343636212,647470.3525721251,24.516129032258064
21,-92740.39343636212,647470.3525721251,22.93548387096774
22,-92740.39343636212,647470.3525721251,22.129032258064516
23,-92740.39343636212,647470.3525721251,21.258064516129032
0,-85536.35269915417,644291.8898877907,19.806451612903224
1,-85536.35269915417,644291.8898877907,19.0
2,-85536.35269915417,644291.8898877907,18.451612903225808
3,-85536.35269915417,644291.8898877907,18.06451612903226
4,-85536.35269915417,644291.8898877907,17.903225806451612
5,-85536.35269915417,644291.8898877907,17.64516129032258
6,-85536.35269915417,644291.8898877907,17.870967741935484
7,-85536.35269915417,644291.8898877907,18.93548387096774
8,-85536.35269915417,644291.8898877907,20.451612903225808
9,-85536.35269915417,644291.8898877907,21.64516129032258
10,-85536.35269915417,644291.8898877907,22.838709677419356
11,-85536.35269915417,644291.8898877907,23.967741935483872
12,-85536.35269915417,644291.8898877907,25.06451612903226
13,-85536.35269915417,644291.8898877907,25.677419354838708
14,-85536.35269915417,644291.8898877907,26.0
15,-85536.35269915417,644291.8898877907,26.322580645161292
16,-85536.35269915417,644291.8898877907,26.29032258064516
17,-85536.35269915417,644291.8898877907,26.096774193548388
18,-85536.35269915417,644291.8898877907,25.548387096774192
19,-85536.35269915417,644291.8898877907,24.870967741935484
20,-85536.35269915417,644291.8898877907,23.516129032258064
21,-85536.35269915417,644291.8898877907,22.096774193548388
22,-85536.35269915417,644291.8898877907,21.193548387096776
23,-85536.35269915417,644291.8898877907,20.419354838709676
0,-88858.46916096202,642062.1678143913,19.516129032258064
1,-88858.46916096202,642062.1678143913,18.741935483870968
2,-88858.46916096202,642062.1678143913,18.225806451612904
3,-88858.46916096202,642062.1678143913,17.741935483870968
4,-88858.46916096202,642062.1678143913,17.516129032258064
5,-88858.46916096202,642062.1678143913,17.193548387096776
6,-88858.46916096202,642062.1678143913,17.483870967741936
7,-88858.46916096202,642062.1678143913,18.838709677419356
8,-88858.46916096202,642062.1678143913,21.096774193548388
9,-88858.46916096202,642062.1678143913,22.774193548387096
10,-88858.46916096202,642062.1678143913,24.0
11,-88858.46916096202,642062.1678143913,25.032258064516128
12,-88858.46916096202,642062.1678143913,25.967741935483872
13,-88858.46916096202,642062.1678143913,26.64516129032258
14,-88858.46916096202,642062.1678143913,26.64516129032258
15,-88858.46916096202,642062.1678143913,27.06451612903226
16,-88858.46916096202,642062.1678143913,26.967741935483872
17,-88858.46916096202,642062.1678143913,26.451612903225808
18,-88858.46916096202,642062.1678143913,25.774193548387096
19,-88858.46916096202,642062.1678143913,25.161290322580644
20,-88858.46916096202,642062.1678143913,23.580645161290324
21,-88858.46916096202,642062.1678143913,22.032258064516128
22,-88858.46916096202,642062.1678143913,21.096774193548388
23,-88858.46916096202,642062.1678143913,20.129032258064516
0,-86566.21867334137,643589.2520737598,19.548387096774192
1,-86566.21867334137,643589.2520737598,18.870967741935484
2,-86566.21867334137,643589.2520737598,18.451612903225808
3,-86566.21867334137,643589.2520737598,18.032258064516128
4,-86566.21867334137,643589.2520737598,17.833333333333332
5,-86566.21867334137,643589.2520737598,17.6
6,-86566.21867334137,643589.2520737598,17.833333333333332
7,-86566.21867334137,643589.2520737598,19.193548387096776
8,-86566.21867334137,643589.2520737598,20.806451612903224
9,-86566.21867334137,643589.2520737598,22.741935483870968
10,-86566.21867334137,643589.2520737598,24.322580645161292
11,-86566.21867334137,643589.2520737598,25.612903225806452
12,-86566.21867334137,643589.2520737598,26.70967741935484
13,-86566.21867334137,643589.2520737598,26.967741935483872
